Coverage,claim_count,total_paid,avg_paid,max_paid
Ascension Luxury - Premier,19,72792.61,3831.19,13630.78
"Ascension - T&W, PDR, KEY Bundle",17,9888.8,581.6941176470588,1822.48
Ascension - Tire & Wheel,11,6997.25,636.1136363636364,1573.81
Ascent Protection Plus - Tire & Wheel,12,5668.3,472.35833333333335,1305.15
"Ascent - Protection Plus T&W, PDR, KEY Bundle",10,5240.3,524.03,1568.51
Ascent Protection Plus Key/FOB,6,2782.0,463.6666666666667,675.12
Ascension Luxury - Executive,1,1784.13,1784.13,1784.13
Ascension Key/FOB,1,732.67,732.67,732.67
Ascent Prepaid Maintenance Plan,1,60.0,60.0,60.0
